TABLE_NAME                     COUNT(COLUMN_NAME)                               
LINE_ITEM_GROUPS_TEST                           3                               
LINE_ITEM_GROUP_AUDIT                          41                               
LINE_ITEM_GROUP_AUDIT_TEST                     41                               
LINE_ITEM_GROUP_TEST                           25                               
LINE_ITEM_TEST                                 25                               
LIST_OF_VALUES                                 14                               
LOA_AMOUNT                                      3                               
LOCALIZED_MESSAGES                             11                               
LOCATION                                       11                               
LOGICAL_GROUP                                   3                               
LOGIN_HISTORY                                   3                               
MARKET                                         13                               
MARKETING_INFORMATION                          22                               
MARKET_DESC_I18N_TEXT                           2                               
MARKET_I18N_TEXT                                2                               
MARKET_TYPE                                    12                               
MATCH_READ_INFO                                14                               
MINIMUM_LABOR_ROUND_UP                         15                               
MIN_LBR_ROUND_UP_APP_PRODUCTS                   2                               
MISC_I18N_TEXT                                  2                               
MISC_ITEM                                       4                               
MISC_ITEM_CONFIG                                6                               
MISC_ITEM_CRITERIA                             15                               
MISC_ITEM_RATE                                  4                               
MODEL_CATEGORY                                  4                               
MODEL_CATEGORY_SPLIT                            5                               
MODEL_PROCESS                                  12                               
MODEL_PROJECT_ENTITY                           12                               
MODEL_RULE                                     12                               
MODIFIERS                                       3                               
MODIFIERS_HISTORY                               3                               
MODIFIERS_STAGE                                 2                               
MODIFIERS_STAGE_TEST                            2                               
MODIFIERS_TEST                                  3                               
MSA                                            28                               
MSA_MAT                                         2                               
MY_USER_CONSTRAINTS                             4                               
NATIONAL_ACCOUNT                                2                               
NON_OEM_PART_REPLACED                          21                               
NON_OEM_PART_TO_REPLACE                        15                               
NOTIFICATION_EVENT                             12                               
NOTIFICATION_MESSAGE_PARAMETER                  4                               
NOTIFICATION_PARAMETER                          4                               
ODS_REFRESH_STATUS                              1                               
OEM_PART_REPLACED                              34                               
OEM_PART_REPLACED_BATTERY_INFO                  2                               
OEM_PART_REPLACED_PART_RETURNS                  2                               
OEM_PART_TO_REPLACE                            17                               
ON_CHARGE_VOLTAGE_TEST                         14                               
ORGANIZATION                                    2                               
